Citation,Study_Species,Species_analyze,Tree_taxon,Family,SiteLatitude,SiteLongitude,elevation.m,Sex,Mass,SVL,EstimationMethod,Home_range,MEAN_NPP,Total_Precip,MnAnnTemp,SD_Temp,IUCN habitats,IUCN aquatic,Aquatic index
Michael et al. 2014,Morelia spilota,Morelia spilota,Morelia_spilota,Pythonidae,-35.154131,150.711586,90,Male,1630,160.45,100MCP,41.3,12815.73,1393.68,166.65,34.02,11,0,0
Michael et al. 2014,Morelia spilota spilota,Morelia spilota,Morelia_spilota,Pythonidae,-35.154131,150.711586,90,Female,2298,170.11,100MCP,23.3,12815.73,1393.68,166.65,34.02,11,0,0
Slip and Shine 1988,Morelia spilota,Morelia spilota,Morelia_spilota,Pythonidae,-33.739447,151.226575,118,Male,1550,162.5,100MCP,52.8,13843.07,1284.63,171.15,39.64,11,0,0
Slip and Shine 1988,Morelia spilota spilota,Morelia spilota,Morelia_spilota,Pythonidae,-33.739447,151.226575,118,Female,3000,206,100MCP,27.84,13843.07,1284.63,171.15,39.64,11,0,0
Wilson et al. 2006,Morelia viridis,Morelia viridis,Morelia_viridis,Pythonidae,-12.76055,143.292144,52,Female,284.9,96.1,95MCP,6.21,9781.56,1890.94,256.58,16.66,3,0,0
Madsen 1984,Natrix natrix,Natrix natrix,Natrix_natrix,Colubridae,55.667364,13.501706,25,Male,78.5,75.7,100MCP,17.3,6052.3,666.29,77.07,64.34,24,14,0.58
Madsen 1984,Natrix natrix,Natrix natrix,Natrix_natrix,Colubridae,55.667364,13.501706,25,Female,315,103,100MCP,24.9,6052.3,666.29,77.07,64.34,24,14,0.58
Roe et al. 2004,Nerodia erythrogaster,Nerodia erythrogaster,Nerodia_erythrogaster,Colubridae,41.690609,-84.672734,280,Male,261.3,75.5,100MCP,18.9,5835.17,893.79,86.51,99.11,11,11,1
Roe et al. 2004,Nerodia erythrogaster neglecta,Nerodia erythrogaster,Nerodia_erythrogaster,Colubridae,41.690609,-84.672734,280,Female,372.6,81.1,100MCP,12.1,5835.17,893.79,86.51,99.11,11,11,1
Pattishall and Cundall 2008,Nerodia sipedon,Nerodia sipedon,Nerodia_sipedon,Colubridae,40.635438,-75.387539,73,Male,95.5,62.19,100MCP,1.2,6631.34,1141.96,103.94,92.9,18,18,1
Pattishall and Cundall 2008,Nerodia sipedon,Nerodia sipedon,Nerodia_sipedon,Colubridae,40.635438,-75.387539,73,Female,232.8,69.26,100MCP,1.3,6631.34,1141.96,103.94,92.9,18,18,1
Roe et al. 2004,Nerodia sipedon,Nerodia sipedon,Nerodia_sipedon,Colubridae,41.690609,-84.672734,280,Male,95.5,53.3,100MCP,5.6,5835.17,893.79,86.51,99.11,18,18,1
Roe et al. 2004,Nerodia sipedon sipedon,Nerodia sipedon,Nerodia_sipedon,Colubridae,41.690609,-84.672734,280,Female,232.8,66.7,100MCP,3.3,5835.17,893.79,86.51,99.11,18,18,1
Roth and Greene 2006,Nerodia sipedon,Nerodia sipedon,Nerodia_sipedon,Colubridae,37.11704,-93.259097,374,Male,95.5,59.04,95KD,2.92,5280.06,1091.97,129.7,92.32,18,18,1
Roth and Greene 2006,Nerodia sipedon,Nerodia sipedon,Nerodia_sipedon,Colubridae,37.11704,-93.259097,374,Female,232.8,69.84,95KD,2.72,5280.06,1091.97,129.7,92.32,18,18,1
Blouin-Demers et al. 2007,Elaphe obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,44.567476,-76.324975,122,Male,515.17,120,100MCP,16.7,6185.87,892.74,62.6,106.39,6,1,0.17
Blouin-Demers et al. 2007,Elaphe obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,44.567476,-76.324975,122,Female,450.19,115,100MCP,13.7,6185.87,892.74,62.6,106.39,6,1,0.17
Durner and Gates 1993,Elaphe obsoleta obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,39.156138,-76.167424,10,Male,595.41,127.5,100MCP,9.69,6655.06,1100.92,130.1,88.63,6,1,0.17
Durner and Gates 1993,Elaphe obsoleta obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,39.156138,-76.167424,10,Female,478.65,118.9,100MCP,9.24,6655.06,1100.92,130.1,88.63,6,1,0.17
Stapleton 2005,Elaphe obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,30.687229,-84.106029,73,Male,554.44,123.75,95KD,11,9585.45,1416.45,193.2,62.99,6,1,0.17
Stapleton 2005,Elaphe obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,30.687229,-84.106029,73,Female,464.32,116.95,95KD,8.86,9585.45,1416.45,193.2,62.99,6,1,0.17
Weatherhead and Hoysak 1989,Elaphe obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,44.567476,-76.324975,122,Male,554.44,123.75,100MCP,3.9,6185.87,892.74,62.6,106.39,6,1,0.17
Weatherhead and Hoysak 1989,Elaphe obsoleta,Pantherophis alleghaniensis,Pantherophis_alleghaniensis,Colubridae,44.567476,-76.324975,122,Female,464.32,116.95,100MCP,1.22,6185.87,892.74,62.6,106.39,6,1,0.17
Klug et al. 2011,Pantherophis emoryi,Pantherophis emoryi,Pantherophis_emoryi,Colubridae,39.096236,-96.598181,388,Male,236.4,89.3,100MCP,15.24,3229.07,862.75,121.04,104.21,11,2,0.18
Klug et al. 2011,Pantherophis emoryi,Pantherophis emoryi,Pantherophis_emoryi,Colubridae,39.096236,-96.598181,388,Female,295.3,90.7,100MCP,14.52,3229.07,862.75,121.04,104.21,11,2,0.18
Sperry and Taylor 2008,Elaphe guttata emoryi,Pantherophis emoryi,Pantherophis_emoryi,Colubridae,31.194504,-97.741296,242,Male,252.1,85.7,100MCP,10.17,3425.75,787.21,189.85,76.05,9,2,0.22
Stapleton 2005,Elaphe guttata,Pantherophis guttatus,Pantherophis_guttatus,Colubridae,30.687229,-84.106029,73,Male,244.25,87.5,100MCP,12.2,9585.45,1416.45,193.2,62.99,9,2,0.22
Stapleton 2005,Elaphe guttata,Pantherophis guttatus,Pantherophis_guttatus,Colubridae,30.687229,-84.106029,73,Female,253.65,84.75,100MCP,5.3,9585.45,1416.45,193.2,62.99,9,2,0.22
Carfagno and Weatherhead 2008,Elaphe obsoleta,Pantherophis spiloides,Pantherophis_spiloides,Colubridae,37.372805,-88.964218,104,Male,758.6,134.6,100MCP,6.2,6121.11,1193.97,136.15,92.6,6,1,0.17
Carfagno and Weatherhead 2008,Elaphe obsoleta,Pantherophis spiloides,Pantherophis_spiloides,Colubridae,37.372805,-88.964218,104,Female,527,118.9,100MCP,3.5,6121.11,1193.97,136.15,92.6,6,1,0.17
Shew et al. 2012,Pantherophis vulpinus,Pantherophis vulpinus,Pantherophis_vulpinus,Colubridae,40.086931,-95.249546,262,Male,250,88.88,100MCP,44.9,3404.81,880.55,111.53,107.99,5,0,0
Shew et al. 2012,Pantherophis vulpinus,Pantherophis vulpinus,Pantherophis_vulpinus,Colubridae,40.086931,-95.249546,262,Female,363.33,97.3,100MCP,22.8,3404.81,880.55,111.53,107.99,5,0,0
Shew et al. 2012,Pantherophis vulpinus,Pantherophis vulpinus,Pantherophis_vulpinus,Colubridae,40.086931,-95.249546,262,Male,250,88.88,95KD,54.3,3404.81,880.55,111.53,107.99,5,0,0
Shew et al. 2012,Pantherophis vulpinus,Pantherophis vulpinus,Pantherophis_vulpinus,Colubridae,40.086931,-95.249546,262,Female,363.33,97.3,95KD,39.9,3404.81,880.55,111.53,107.99,5,0,0
